[Mastercad Black]|Opening Balance|undefined
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|SHOPPING VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|VLSM SIBER VILLA L01/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Vila Romana|VILA ROMANA SUL NW01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|VLSM SIBER VILLA LOBOS
E2. Extraordinárias (One Time):Investimentos na Empresa|C&C|C C - VILA LEOPOLD06/07
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|STRIKER BAR-G.VIANNA COTIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|APPLEBEE S COTIA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|ALLPE SHOP PANAMBY
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|PRECOLANDIA 03/03
E2. Extraordinárias (One Time):Investimentos na Empresa|C&C|C C - VILA LEOPOLD02/06
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGASIL 058 - 02/02
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|HANDS CARE-SH.ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LELLIS TRATORIA
E1. Extraordinárias (Ongoing):Presentes|Outros|O BOTICARIO MORUMB02/03
B. Outras Receitas:Ajustes|Outros|O BOTICARIO MORUMBI
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|GREGORY OFF PRICE 01/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|RELAX LINGERIE -01/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|VISUAL INFANTIL  - 01/02
E1. Extraordinárias (Ongoing):Presentes|Outros|VIKA-SHOP.VILLA LO01/04
E1. Extraordinárias (Ongoing):Presentes|Outros|GIRAPIAO VILLA LOBOS
E1. Extraordinárias (Ongoing):Presentes|Outros|VIKA-SHOP.VILLA LO02/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|GREGORY OFF PRICE 02/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|RELAX LINGERIE 02/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|VISUAL INFANTIL 02/02
E1. Extraordinárias (Ongoing):Presentes|Outros|APL*APPLEONLINESTOREUS  37.83 USD
E1. Extraordinárias (Ongoing):Presentes|Outros|APL*APPLEONLINESTOREUS  31.39 USD
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGASIL 055-ELDOR02/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VINHERIA PERCUSSI
D. Viagens|Outros|CLUB MED  01/06
B. Outras Receitas:Ajustes|Outros|CLUB MED
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|VLSM SIBER VILLA L02/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Vila Romana|VILA ROMANA SUL NW02/03
E1. Extraordinárias (Ongoing):Presentes|Outros|FNAC BRASIL MORUMB01/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ALMANARA SH MORUMBI
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|ESPACO ALAMANDA
E2. Extraordinárias (One Time):Investimentos na Empresa|C&C|C C - VILA LEOPOLD07/07
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VIA PASTA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SENZALA LANCHONETE
E1. Extraordinárias (Ongoing):Presentes|Outros|FOM 01/03
E2. Extraordinárias (One Time):Investimentos na Empresa|C&C|C&C VL LEOPOLDINA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BRULE BISTROT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OUTBACK V LOBOS
E2. Extraordinárias (One Time):Investimentos na Empresa|C&C|C C - VILA LEOPOLD03/06
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|TOP SERVICE ELECTROLUX
E2. Extraordinárias (One Time):Investimentos na Empresa|C&C|C&C VL LEOPOLDINA 01/02
E1. Extraordinárias (Ongoing):Presentes|Outros|SIDE WALK MARKET P01/03
E1. Extraordinárias (Ongoing):Presentes|Outros|FOM MARKET 01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MY SHOES SHOP MORU01/04
E1. Extraordinárias (Ongoing):Presentes|Outros|O BOTICARIO MORUMB03/03
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|EMPORIO PERDIGAO
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|SPEEDO MORUMBI
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|M OFFICER MBS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|THE FIFTIES MORUMBI
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|TIMBERLAND MORUMBI01/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|SEDUTI SHOP MORUMBI
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Arezzo|AREZZO ACMRB
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DAISSUKI
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|ESTAPAR PAMPLONA
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|ESTAPAR SP CENTRO EMP
D. Viagens|Outros|CLUB MED 02/06
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|A PRACA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|CASA DAS CUECAS-V.LOBO
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|HARTE COM VAR CH SAND
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Vila Romana|VILA ROMANA SUL NW03/03
E1. Extraordinárias (Ongoing):Presentes|Outros|FNAC BRASIL MORUMB02/03
D. Viagens:Tkt-Hotel-Auto|TAM Linhas Aereas|TAM LINHAS AEREAS
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|AUTO POSTO PETROVAL
E1. Extraordinárias (Ongoing):Presentes|Outros|FOM 02/03
E2. Extraordinárias (One Time):Investimentos na Empresa|C&C|C C - VILA LEOPOLD04/06
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|THE FIFTIES VILLA LOBO
B. Outras Receitas:Ajustes|C&C|C&C VL LEOPOLDINA
E2. Extraordinárias (One Time):Investimentos na Empresa|C&C|C&C VL LEOPOLDINA 02/02
E1. Extraordinárias (Ongoing):Presentes|Outros|SIDE WALK MARKET P02/03
E1. Extraordinárias (Ongoing):Presentes|Outros|FOM MARKET 02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SWEET TERRACO-JD.SUL
E1. Extraordinárias (Ongoing):Presentes|Outros|BLANC BRINQUEDOS
B. Outras Receitas:Ajustes|Outros|MY SHOES SHOP MORUMBI
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MY SHOES SHOP MORU02/04
E1. Extraordinárias (Ongoing):Presentes|Outros|VIKA-SHOP.VILLA LO03/04
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GRAAL G E G
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|ESPACO ALAMANDA 01/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PODDIUM S MKT PLACE
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|TIMBERLAND MORUMBI02/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|CENTAURO-57-SH.JD.01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|IKIDS 01/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|BANANA BACANA 01/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|KARMISS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KESHA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MAYB
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|HONORA CONFECCOES LTDA
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROG GLOBO
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|PLAYLAND-ELDORADO
D. Viagens:Tkt-Hotel-Auto|Outros|CLUB MED 03/06
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VIENA SNACKS - DESEMBA
D. Viagens:Compras|Dufry|DUTY FREE AISP 03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|HERING
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|MEGA FLORA AUTO POSTO
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|PUQUE VILA OLIMPIA01/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|A Plus|A PLUS IND COM ACE01/03 - UNIFORME STO AMERICO
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|STUDIO PAPER
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|STAR 001
E1. Extraordinárias (Ongoing):Presentes|Outros|FOM 03/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|HERING STORE CENESP
E2. Extraordinárias (One Time):Investimentos na Empresa|C&C|C C - VILA LEOPOLD05/06
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|AUTO POSTO PORTAL DA R
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KFC
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|PAYPAL
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|PAYPAL *EXPERTCOMPU - BATERIA IPOD
E1. Extraordinárias (Ongoing):Presentes|Outros|BMART MORUMBI 01/03
E1. Extraordinárias (Ongoing):Presentes|Outros|SIDE WALK MARKET P03/03
E1. Extraordinárias (Ongoing):Presentes|Outros|FOM MARKET 03/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LE PATISSIER-V.LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|VOW CRAW VILA OLIMPIA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MY SHOES SHOP MORU03/04
E1. Extraordinárias (Ongoing):Presentes|Outros|VIKA-SHOP.VILLA LO04/04
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGASIL 067-SH.JD01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|JSW CRAWFORD JARDI01/02
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|ALERGO SHOP 01/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BAKED POTADO-SH.JD.SUL
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|NET PARK
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|COREL AUTO POSTO
E2. Extraordinárias (One Time):Investimentos na Empresa|Outros|FAST SHOP
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|ESPACO ALAMANDA 02/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CASIMIRO S LANCHONETE
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|ACTUAL PAPELARIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MUNDO DOS DOCES
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MC DONALD S MKC
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MC DONALD S XUX
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|O MUNDO DA XUXA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|CENTAURO-57-SH.JD.02/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|HERING KIDS ANALIA01/05
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|AFS/AFW ANALIA FRA01/05
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AMERICA ANALIA FRANCO
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|IKIDS 02/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|BANANA BACANA 02/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BARBARO
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|POSTO UNIVERSIDADE
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MOB-SHOP.VILLA LOB01/04
D. Viagens:Tkt-Hotel-Auto|Outros|CLUB MED 04/06
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DAIRIN DELI VERY
E1. Extraordinárias (Ongoing):Presentes|Outros|FNAC BRASIL MORUMB03/03
E2. Extraordinárias (One Time):Investimentos na Empresa|C&C|C&C VL LEOPOLDINA - C&C MOVEIS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LANCHES BURDOG
E2. Extraordinárias (One Time):Investimentos na Empresa|Outros|WORK MOVEIS
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|CINEMARK ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|LEVI-S-SH.VILLA LO01/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|LEETZ 01/05
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|REST VICOLO NOSTRO
E2. Extraordinárias (One Time):Investimentos na Empresa|C&C|C C - VILA LEOPOLD06/06
E1. Extraordinárias (Ongoing):Presentes|Outros|BMART MORUMBI 02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|STRIKER BAR-G.VIANNA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|APPLEBEE S GR VIANA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|YOGGI-SH.GRANJA VIANNA
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|POSTO JOMAR
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MY SHOES SHOP MORU04/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MOB-SHOP.VILLA LOB01/03
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGASIL 067-SH.JD02/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|JSW CRAWFORD JARDI02/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|ALERGO SHOP 02/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|HERING STORE CENES01/03
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA FIL313
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|CENTAURO-57-SH.JD.03/03
B. Outras Receitas:Ajustes|Outros|HERING KIDS ANALIA FRA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|HERING KIDS ANALIA02/05
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|AFS/AFW ANALIA FRA02/05
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SABOR DAS MASSAS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MOB-SHOP.VILLA LOB02/04
D. Viagens:Tkt-Hotel-Auto|Outros|CLUB MED 05/06
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|TELLCENTER CELULARES
E2. Extraordinárias (One Time):Investimentos na Empresa|Outros|MAGAZINE LUIZA 01/03
E2. Extraordinárias (One Time):Investimentos na Empresa|Outros|MAGAZINE LUIZA 02/03
E2. Extraordinárias (One Time):Investimentos na Empresa|Outros|ALTO DA LAPA M CONST
B. Outras Receitas:Ajustes|A Plus|A PLUS IND COM ACESS L
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|PUQUE VILA OLIMPIA02/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|PUKET 02/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|C E A 275
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|PUKET VL LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|HERING
E1. Extraordinárias (Ongoing):Presentes|Outros|AUTHENTIC FEET-V.L01/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PONTEIO GRILL
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|LEVI-S-SH.VILLA LO02/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|LEETZ 02/05
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|UCI BRASIL LTDA
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|AUTO P BONFIGLIOLI
E1. Extraordinárias (Ongoing):Presentes|Outros|BMART MORUMBI 03/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MONDO DI VINO
B. Outras Receitas:Ajustes|Outros|MOB-SHOP.VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MOB-SHOP.VILLA LOB02/03
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGASIL 067-SH.JD03/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|ALERGO SHOP 03/03
B. Outras Receitas:Ajustes|Outros|HERING STORE CENESP
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|HERING STORE CENES02/03
E1. Extraordinárias (Ongoing):Presentes|Outros|AUTHENTIC FEET-V.LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|EQUIPE ELLO S CABELEIR
D. Viagens:Tkt-Hotel-Auto|TAM Linhas Aereas|TAM VIAGENS-VILLA 01/10
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|SIBER ROBOFORM GOODSYN
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GOSTINHO BRASILEIRO
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|HERING KIDS ANALIA03/05
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|AFS/AFW ANALIA FRA03/05
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|ENOUGH COMERCIO DE ROU
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MOB-SHOP.VILLA LOB03/04
D. Viagens:Tkt-Hotel-Auto|Outros|CLUB MED 06/06
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao de Açucar|29/04 PAO DE ACUCAR DELIVERY
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LEO CONFEITARIA
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|ESTAPAR VERBO DIVINO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ALEKAO
E1. Extraordinárias (Ongoing):Presentes|Ri Happy|HI HAPPY BRINQUEDOS
E1. Extraordinárias (Ongoing):Presentes|Outros|AUTHENTIC FEET-V.L02/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|LEETZ 03/05
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Calzedonia|CALZEDONIA BRASIL 01/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|THABRILE
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Zeka Cabelereiro|ZEKA ABRANTES
E1. Extraordinárias (Ongoing):Presentes|Outros|EMPORIO BODY STORE01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|CENTAURO CE 71
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ADM COM DE ALIMENTOS L
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|LIVRARIA CULTURA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|CENTAURO 46-ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AL H2 ARAB-SH.ELDORADO
E1. Extraordinárias (Ongoing):Presentes|Outros|MOB-SHOP.VILLA LOB03/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|HERING STORE CENES03/03
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|TOK E STOK PIN 01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|THE JEANS B.-ELDOR01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|TICOS E TICAS 01/03
B. Outras Receitas:Ajustes|TAM Linhas Aereas|TAM VIAGENS-VILLA LOBO
D. Viagens:Tkt-Hotel-Auto|TAM Linhas Aereas|TAM VIAGENS-VILLA 02/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|NOVO SABOR
E1. Extraordinárias (Ongoing):Presentes|Outros|PBKIDS BRINQUEDOS 01/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|HERING KIDS ANALIA04/05
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|AFS/AFW ANALIA FRA04/05
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|PAYPAL *CARA6792221 - ipod
B. Outras Receitas:Ajustes|Vila Romana|VILA ROMANA SUL NW
E1. Extraordinárias (Ongoing):Presentes|Outros|MOB-SHOP.VILLA LOB04/04
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|MAGAZINE LUIZA 03/03
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|VERBO DIVINO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LEONA PIZZA BAR LTDA
E1. Extraordinárias (Ongoing):Presentes|Outros|AUTHENTIC FEET-V.L03/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|LEETZ 04/05
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|C&A-SH.VILLA LOBOS01/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|F2M COM DE DOCES
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|CHICLETARIA
E1. Extraordinárias (Ongoing):Presentes|Outros|IMAGINARIUM
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MC DONALD S RAP
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|CINEMARK RAPOSO TAVARE
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Calzedonia|CALZEDONIA BRASIL 02/02
E1. Extraordinárias (Ongoing):Presentes|Outros|EMPORIO BODY STORE02/03
E1. Extraordinárias (Ongoing):Assinaturas-Licenças|Netflix|NETFLIX
B. Outras Receitas:Ajustes|Outros|TOK E STOK PIN
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|TOK E STOK PIN 02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SABOR DAS MASSAS PAES
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ENCONTRO MINEIRO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LAMAR
B. Outras Receitas:Ajustes|Outros|TICOS E TICAS
B. Outras Receitas:Ajustes|Outros|THE JEANS B.-ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|THE JEANS B.-ELDOR02/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|TICOS E TICAS 02/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|TREND S ELDORADO 01/02
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|APM SANTO AMERICO - festa junina
D. Viagens:Tkt-Hotel-Auto|TAM Linhas Aereas|TAM VIAGENS-VILLA 03/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MERCATTO
E1. Extraordinárias (Ongoing):Presentes|Outros|PBKIDS BRINQUEDOS 02/04
E1. Extraordinárias (Ongoing):Presentes|Outros|FAST SHOP 01/04
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KOPENHAGEN VILA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|HERING KIDS ANALIA05/05
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|AFS/AFW ANALIA FRA05/05
E1. Extraordinárias (Ongoing):Presentes|Ri Happy|HI HAPPY BRINQUEDO01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|HERING STORE CENES02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GRANO-SHOP.VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|JACQUES JANINE-V.LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|LEETZ 05/05
E1. Extraordinárias (Ongoing):Presentes|Outros|ERVA DOCE - ISABEL
B. Outras Receitas:Ajustes|Outros|C&A-SH.VILLA LOBOS
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|C&A-SH.VILLA LOBOS02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|WRAPS SHOP VL OLIMPIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KINOPLEX VILA OLIMPIA
E1. Extraordinárias (Ongoing):Presentes|Outros|EMPORIO BODY STORE03/03
E1. Extraordinárias (Ongoing):Presentes|Ri Happy|RI HAPPY- LJ 29 01/03
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|TOK E STOK PIN 03/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|THE JEANS B.-ELDOR03/03
