[Mastercard Personnalite]|Opening Balance|undefined
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 6.03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE AVELINOS
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|MERCEARIA DA SAUDE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OFNER
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|PEIXARIA RIO PEQUENO
B2. Educacao (Mensal):Livros-Material Escolar|Outros|LIVRARIA CULTURA 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MILANO COMERCIO VAREJI
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|SHOPPING VILLA LOBOS E
B2. Educacao (Mensal):Livros-Material Escolar|Outros|EDITORA ATICA LTDA
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA F25
B. Outras Receitas:Ajustes|Outros|RADIODOC
F. Automoveis:Combustivel-Lavagem-Oleo|Outros|FELIPE WASH CAR LTDA M
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|kalunga|KALUNGA-BUTANTA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TF D E D
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE MIKA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|A CHAPA LANCHES LTDA
B. Outras Receitas:Ajustes|Loungerie|LOUNGERIE
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|CARREFOUR SPV 250 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|1087 - GRSA GRSA CLARI
B. Outras Receitas:Ajustes|Outros|TELHANORTE
B2. Educacao (Mensal):Livros-Material Escolar|Outros|MULTICOISAS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|Z DELI SANDUICHES
[Residencia Lorian]|CrissAir|CRISSAIR 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OPEN 25 ARGENTINA LOCAL 205 USD 6.89
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|KASTRO PARK ESTAC.
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 0.44
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OUTBACK BZ 02 ALPHAVIL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LE BOTTEGHE DI LEONARD
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGARIA IGUATEMI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DON CHURRO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FIRENZE
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA F70
B. Outras Receitas:Ajustes|Outros|EDITORA ATICA LTDA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ORIGINAL BURGER
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|LAVA RAPIDO MUNDIAL
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|HELENA SGAI 
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|EX HIPER MORUMBI
E1. Extraordinarias (Ongoing):Reforma Vilas|Deposito Zebra|ZEBRA
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|CENTRAL CARNES DALLAS
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|EDGAR
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|DUTRAO AUTO POSTO LTDA
[Residencia Lorian]|Telhanorte|TELHANORTE 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FRUTAH-ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|ESPADILHA
B2. Educacao (Mensal):Livros-Material Escolar|Outros|SARAIVA ELDORADO 40
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|PUC-SHOP.ELDORADO 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FRIDA E MINA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LE CHEF GATO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PADARIA RESTAURANTE
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|AC CENTRO EMPRESARIAL
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Ingresso|CINEFLIX
D. Viagens:Tkt-Hotel-Auto|Gol Linhas Aereas|GOL TRANSP AEREOS - NILDE
D. Viagens:Tkt-Hotel-Auto|Outros|AF INTERNET MC  - SUICA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ANDIAMO
B2. Educacao (Mensal):Livros-Material Escolar|kalunga|KALUNGA SHOPPING ELDOR
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|LINDT SPRUNGLI BRAZ
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AXE ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|CARLA A.DE O.CEZARETTO
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|ZAFFARI LJ 25 BOURBON
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LINDT - BOURBON
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|AUTO POSTO PHENIX
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DESFRUTTI REFEICOES
E1. Extraordinarias (Ongoing):Presentes|Outros|LE LIS VILA LOBOS 
[Residencia Lorian]|Fast Shop|FAST SHOP 
[Residencia Lorian]|Fast Shop|FAST SHOP - REFRI + LAVAROUPA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|H3 NEW HAMBURGOLOGY
E1. Extraordinarias (Ongoing):Presentes|Outros|LOCCITANE SHOPPING VIL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|A CASA DO PORCO
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|IG Lavanderia|DRYCLEAN CONTINENTAL
B. Outras Receitas:Ajustes|Outros|HELENA SGAI
E1. Extraordinarias (Ongoing):Assinaturas-Licencas|Outros|PAYPAL *ROBOFORM 19.95 (U.S.DOLLAR)
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|PADARIA PESSEGUEIRO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|H3 SAO PAULO IBIRAPUER
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Homa|CARLA A.DE O.CEZARETTO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CASA DA PIZZA
B. Outras Receitas:Ajustes|Outros|PUC-SHOP.ELDORADO
E1. Extraordinarias (Ongoing):Presentes|Outros|PUC-SHOP.ELDORADO 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BACCIO DI LATTE
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Fiel Torcedor|PAGSEGURO*FielTorcedor
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|CORELLO|CORELLO-SH.ELDORAD
E2. Extraordinarias (One Time):Medicos-Clinicas-Exames|Hospital Albert Einstein|HOSPITAL ALBERT EI - vacinas
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|MAISA ATELIER - COLLANT MARINA CSA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MONTANA GRILL BUTANTA
[Residencia Lorian]|Outros|WALDESA COM IMP REPR - DISJUNTOR
B. Outras Receitas:Ajustes|Banco Itau|DB DIFERENCA COTACAO U$
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGASIL 170      
E1. Extraordinarias (Ongoing):Assinaturas-Licencas|Outros|GOOGLE PLAY*MINECRAFT
E1. Extraordinarias (Ongoing):Presentes|Ri Happy|RI HAPPY - LJ 45  
D. Viagens:Tkt-Hotel-Auto|Outros|TrekkSoft Tour  USD 33.61
[Residencia Lorian]|Fast Shop|FAST SHOP         
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ELEGANCE RESTAURANTE J
D. Viagens:Passeios-Restaurantes|Outros|Besbrio GmbH    USD 104.53
D. Viagens:Tkt-Hotel-Auto|Hotel|HOTEL SALINAS     
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|HELENA SGAI       
D. Viagens:Compras|Outros|LAEDERACH CHOCO USD 5.80
D. Viagens:Passeios-Restaurantes|Outros|743 Coop Pronto Ba   USD 29.79
D. Viagens:Tkt-Hotel-Auto|Outros|BASEL SBB    USD 261.12
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Decathlon|DECATHLON         
[Residencia Lorian]|Telhanorte|TELHANORTE        
D. Viagens:Compras|Dufry|DUFRY LOJAS FRANCA
E1. Extraordinarias (Ongoing):Assinaturas-Licencas|Panini|PANINI           
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|RENATO TOTALI FERNANDE
E2. Extraordinarias (One Time):Medicos-Clinicas-Exames|Hospital Albert Einstein|HOSPITAL ALBERT EI
E1. Extraordinarias (Ongoing):Presentes|Outros|PBKIDS-ELDORADO
[Residencia Lorian]|Outros|MILANO COMERCIO VAREJI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VILLA COLMEIA PAES E C
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PORTAL DE SANTANA
[Residencia Lorian]|Outros|SANTO ANTONIO MATE
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|WAL MART LJ 2801 P
[Residencia Lorian]|Outros|SANTO ANTONIO MATERIAI
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|CHOCOLATES ARIANE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CHOPERIA VON KESSEL
D. Viagens:Compras|Amazon|AMAZON MKTPLACE PMTS USD 30.85
D. Viagens:Compras|Amazon|AMAZON MKTPLACE PMTS USD 42.98
D. Viagens:Compras|Amazon|AMAZON MKTPLACE PMTS USD 83.85
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAGSEGUROUOL*Doceideia
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 1.97
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 2.74
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 5.35
D. Viagens:Compras|Amazon|AMAZON MKTPLACE PMTS USD 15.50
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|HERING VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|CORELLO|CORELLO-SH.VILLA L
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 0.99
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 2.60
D. Viagens:Compras|Amazon|AMAZON MKTPLACE PMTS USD 40.76
D. Viagens:Compras|Amazon|AMAZON MKTPLACE PMTS USD 59.94
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 3.82
E2. Extraordinarias (One Time):Investimentos na Empresa|Aeromexico|AEROMEXICO 
E2. Extraordinarias (One Time):Investimentos na Empresa|Aeromexico|AEROMEXICO
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN RAPOSO
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|SO MEIAS
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|IG Lavanderia|LV SERVICOS DE LAVANDE
B. Outras Receitas:Ajustes|Dufry|DUFRY LOJAS FRANCAS
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGARIA SAO PAULO S A
E1. Extraordinarias (Ongoing):Presentes|Outros|PBKIDS-ELDORADO 
D. Viagens:Passeios-Restaurantes|Outros|EBSA T2 CAJA T2IA3 USD 11.96
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 72.33
D. Viagens:Passeios-Restaurantes|Outros|REST VILLA MA POLANCO USD 21.59
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|FARMALEMOS
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 1.38
D. Viagens:Passeios-Restaurantes|Outros|RED LOBSTER TOREO USD 38.55
D. Viagens:Compras|Outros|BANANA REPUBLIC TOREO USD 126.21
D. Viagens:Compras|Outros|F21 PARQUE EL TOREO USD 62.94
D. Viagens:Compras|Zara|9328 ZARA TOREO USD 28.31
D. Viagens:Compras|Outros|H&M MX0008 TOREO USD 7.84
D. Viagens:Compras|Outros|SEPHORA TOREO USD 29.99
G. Reembolsaveis:Emprestimos|Gol Linhas Aereas|GOL TRANSP AEREOS*
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KID SAFARI
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 2.46
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 8.05
D. Viagens:Passeios-Restaurantes|Outros|DIVERS A70 USD 32.15
D. Viagens:Compras|Outros|BANANA REPUBLIC OASIS USD 110.43
D. Viagens:Passeios-Restaurantes|Outros|CORPORATIVO MULTIALIME USD 6.31
E2. Extraordinarias (One Time):Investimentos na Empresa|Outros|HILT PISO EJECUTIVO 2 USD 1.155.87
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GRAAK MARKET
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MADERO TAUBATE
E2. Extraordinarias (One Time):Investimentos na Empresa|Hotel|IBIS TAUBATE
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 4.02
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 1.81
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 0.50
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 1.91
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 2.05
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 7.05
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 0.40
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 73.74
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|POSTO MUNDO NOVO
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|AUTO POSTO DOIS XIS
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|MARIA DO SOCORRO VIEIR
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|REDE FRANGO ASSADO SJC
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE PIEMONTE
B. Outras Receitas:Ajustes|Outros|HERING VILLA LOBOS
E2. Extraordinarias (One Time):Outras|Outros|GWP OPERADORA
B. Outras Receitas:Ajustes|Aeromexico|AEROMEXICO
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Zara|ZARA-SH.VILLA LOBO
B. Outras Receitas:Ajustes|Outros|PBKIDS-ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|JAQUES JANINE
[Residencia Lorian]|Outros|FERRAGENS FLORESTA EIR
B. Outras Receitas:Ajustes|Gol Linhas Aereas|GOL TRANSP AEREOS*LL9W
B. Outras Receitas:Ajustes|Dufry|DUFRY LOJAS FRANCAS LT
B. Outras Receitas:Ajustes|Alamanda|GILBERTO DE MELLO SCHA
[Residencia Lorian]|Outros|SBH COMERCIO E IMPORTA
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Ingresso|CINEMARK 727-VL.LOBOS
E1. Extraordinarias (Ongoing):Assinaturas-Licencas|Outros|DOMAIN NAME REGISTRATI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|NUTRIBEM
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SANTA FE PRESENTES LTD
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Zara|ZARA-SH.VILLA LOBO
E1. Extraordinarias (Ongoing):Presentes|Outros|MILANO COMERCIO VAREJI
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA F197
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|A B S
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|WALDEMAR INACIO FERREI
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|AUTHENTIC FEET-V.L
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DALFHER BISCOITERIA
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGASIL 093
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|AUTHENTIC FEET-V.L
E1. Extraordinarias (Ongoing):Presentes|Outros|VILA ROMANA SUL NW
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|CARREFOUR CENESP
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Ingresso|PAYPAL*INGRESSOCOM
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|EINSTEN  ESTACIONAMENT
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Mambo Supermercado|ECOMMERCE MAMBO TATUAP                           6
[Residencia Lorian]|Fast Shop|FAST SHOP        
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Uber|UBER*UBER BR NOV09 PYI
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Uber|UBER*UBER BR NOV09 YQJ
E2. Extraordinarias (One Time):Outras|Outros|DECIMO QUARTO TABELIO
E2. Extraordinarias (One Time):Investimentos na Empresa|Aeromexico|AEROMEXICO        
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|REDE PAPA
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MANGO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LA GUAPA ITAIM
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|GME COMERCIO VAREJ
E1. Extraordinarias (Ongoing):Presentes|Outros|DUFRY LOJAS FRANCA
C1. Lazer-Estetica-Vestuario-Celular:Celular|Claro Loja|CLARO LJ 1178 SUPER OS
B2. Educacao (Mensal):Livros-Material Escolar|Outros|SARAIVA OSASCO 58
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TRUCK MAKIS PLACE
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Clinica Medica Giovana|CLINICA MEDICA GIOVANA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|WILD HORSE MUSIC BAR
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|HTRES SAO PAULO LAPA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GENDAI VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LJ0017 VILLA LOBOS SP
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|RED
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BADARO SHOP D&D
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LJ0013 BACIO DI LATT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAZZI PER PIZZA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LJ0005 V MADALENA S
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA F21
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CERVEJARIA NACIONAL
[Residencia Lorian]|Copeli Matl Eletrico|ELETRICA COPELI
E1. Extraordinarias (Ongoing):Presentes|Outros|LOCCITANE SHOPPING
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|AUTO POSTO G A G
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|IG Lavanderia|5 ASEC
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|NAVE PARK
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|HERING STORE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SCADA CAFETERIA
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|EMBALAGENS E MATERIAIS
D. Viagens:Tkt-Hotel-Auto|TAM Linhas Aereas|TAM SITE 
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|AUTO POSTO TASCA MARTE
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|CAMINHO DA MODA
E2. Extraordinarias (One Time):Outras|Outros|JOAO PORFIRIO NETO FAR
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PATIO HAVANA
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|POSTO RJ SAO PEDRO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RST BARRA VENTUS 4_
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MANOEL & JUAQUIM
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|REI DO MATE
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|BONDINHO PAO DE ACUCAR
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|PAINEIRAS CORCOVADO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LA FABRIQUE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ARENA LE HOTEL
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|PIRAPANEMA SERVICOS AU
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|NATURACITRUS
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|COBASI VILA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MARIA LUCIA TADEU MORA
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|PAGSEGUROUOL*Queijos
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|CONSTRUCEL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|HTRES SAO PAULO PINHEI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LJ0013 BACIO DI LATTE
[Residencia Lorian]|Casa Almeida|CASA ALMEIDA-V.LOB
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|DEPOSITO NOROESTE 
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|YPE DEPOSITO MAT CONST
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|EX OSASCO HI SANAZAR
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|C E A 275
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|ESTAPAR PEIXOTO GOMIDE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|STARBUCKS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LA BOULANGERE FINOPAO
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Intimissimi|INTIMISSIMI 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|AXE ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Zara|ZARA-SHOP.ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SUBWAY ELDORADO
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|COBASI OSASCO
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|J J ORLANDO CABEL COM
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SODIE DOCES VL LAGEA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GALETO PRIME OSASCO
E1. Extraordinarias (Ongoing):Presentes|Outros|HNA*OBOTICARIO
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|MULTICOMERCIAL 
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|MAMUTE ELETRONICA
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Mambo Supermercado|MAMBO DELIVERY
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RINCONCITO
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|NODAJI ELETRONICA LIM
E2. Extraordinarias (One Time):Outras|Outros|AJS PRESTADORA DE SERV
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CENTER CARNES SANTA MA
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|POSTO FRANGO ASSADO
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MADERO CONTAINER TAUBA
E2. Extraordinarias (One Time):Investimentos na Empresa|Intercepti|HOTEL FARO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|STAR 013
B. Outras Receitas:Ajustes|Outros|CASA ALMEIDA-V.LOBOS
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|COM MATS P/CONST PEL
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|IG Lavanderia|5 A SEC
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|CENTER CARNES SANTA MA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SUSHI DO PONTO MOREIRA
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|VG PARK
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|IZ*KARINA PRIETO FERNA
B. Outras Receitas:Ajustes|Leroy Merlin|LEROY MERLIN
[Residencia Lorian]|C&C|C&C OSASCO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LA MARSELHA
B2. Educacao (Mensal):Merenda|GRSA|9513 GRSA COLEGIO SANT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LJ0005 V MADALENA SP
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SWEETCO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BRASVENDING
